id,name,label,homepage,stories_per_week,primary_language,name_clean
79587,marinetimes.com,marinetimes.com,http://www.marinetimes.com/#spider,13,en,marinetimes
323222,popmatters.com,http://www.popmatters.com/feeds/,http://www.popmatters.com/feeds,27,en,popmatters
1289242,ledger-enquirer.com,amp.ledger-enquirer.com,http://amp.ledger-enquirer.com/,-1,,ledger-enquirer
84582,fusion.net,Fusion,http://fusion.net,-1,en,fusion
85364,newsy.com,newsy,http://www.newsy.com/#spider,242,en,newsy
20992,indystar.com,indystar.com,http://www.indystar.com,27,,indystar
86303,accesshollywood.com,Access Hollywood,http://www.accesshollywood.com/#spider,-1,en,accesshollywood
86512,x17online.com,x17online.com,http://www.x17online.com/#spider,2,en,x17online
88260,eater.com,eater.com,http://eater.com/#spider,22,en,eater
1274884,saturdayeveningpost.com,files.saturdayeveningpost.com,http://files.saturdayeveningpost.com/,13,,saturdayeveningpost
366942,bustle.com,bustle.com,http://bustle.com/,192,,bustle
588414,hudsonvalley360.com,hudsonvalley360.com,http://hudsonvalley360.com/,-1,,hudsonvalley360
104828,vox.com,Vox,http://www.vox.com,64,,vox
104377,contactomagazine.com,Contacto,http://www.contactomagazine.com,-1,es,contactomagazine
104698,refinery29.com,Refinery29,http://www.refinery29.com,70,en,refinery29
366790,dailysignal.com,dailysignal.com,http://dailysignal.com/,74,,dailysignal
105196,talkingnewmedia.com,talkingnewmedia.com,http://talkingnewmedia.com/#spider,0,en,talkingnewmedia
106678,inquirer.com,Inquirer,http://inquirer.com/,-1,,inquirer
19508,theverge.com,theverge,http://www.theverge.com,171,,theverge
107659,mintpressnews.com,MintPress News,http://mintpressnews.com/,6,en,mintpressnews
109076,mic.com,Mic,http://mic.com/,18,en,mic
111877,thepostgame.com,The PostGame,http://thepostgame.com/,2,en,thepostgame
113747,recorder.com,recorder.com,http://recorder.com/,166,en,recorder
125751,axcessnews.com,AxcessNews,http://axcessnews.com/,3,en,axcessnews
127733,oann.com,Oan,http://oann.com/,244,en,oann
136431,berkshireeagle.com,berkshireeagle.com,http://berkshireeagle.com/,-1,en,berkshireeagle
140484,thrillist.com,thrillist.com,http://thrillist.com/,178,en,thrillist
143374,redherring.com,Red Herring,http://redherring.com/,3,en,redherring
146969,axs.com,axs.com,http://axs.com/,-1,en,axs
147903,247sports.com,247sports.com,http://247sports.com/,186,en,247sports
173769,augustachronicle.com,augustachronicle.com,http://augustachronicle.com/,-1,,augustachronicle
98456,sportingnews.com,Sporting News - Real Insight. Real Fans. Real Conversations.,http://sportingnews.com,876,en,sportingnews
244743,indiancountrytoday.com,Indian Country Today,http://indiancountrytoday.com/,58,en,indiancountrytoday
259449,cherokeephoenix.org,Cherokee Phoenix,http://cherokeephoenix.org/,-1,,cherokeephoenix
268225,sandiegouniontribune.com,San Diego Union Tribune,http://sandiegouniontribune.com/,29,en,sandiegouniontribune
366870,theintercept.com,theintercept.com,http://theintercept.com/,68,,theintercept
1093,pbs.org,PBS,http://www.pbs.org/,220,en,pbs
55476,foxsports.com,www.foxsports.com,http://www.foxsports.com/,619,en,foxsports
278480,scout.com,Scout,http://scout.com/,-1,en,scout
285572,talkmedianews.com,Talk Media News,http://talkmedianews.com/,-1,en,talkmedianews
300241,dailysource.org,Daily Source,http://www.dailysource.org/,59,en,dailysource
19452,lexisnexis.com,lexisnexis.com,http://www.lexisnexis.com,18,,lexisnexis
21208,people.com,people.com,http://www.people.com,-1,,people
300477,polamjournal.com,Polish American Journal,http://www.polamjournal.com/,-1,en,polamjournal
300516,schwartzreport.net,Schwartzreport,http://www.schwartzreport.net/,31,en,schwartzreport
21617,vice.com,vice.com,http://www.vice.com,158,en,vice
324726,antena305.com,antena305.com,http://antena305.com/,4,es,antena305
293951,msnbc.com,msnbc.com 1,http://msnbc.com/,124,en,msnbc
20487,gq.com,GQ,http://www.gq.com,73,en,gq
21515,foxbusiness.com,Fox Business,http://www.foxbusiness.com,14,en,foxbusiness
20401,dailydot.com,Daily Dot,http://www.dailydot.com,181,en,dailydot
255385,indiancountrynews.com,indiancountrynews.com,http://indiancountrynews.com/,-1,en,indiancountrynews
367446,nationalenquirer.com,nationalenquirer.com,http://nationalenquirer.com/,2,en,nationalenquirer
25791,theroot.com,The Root,http://www.theroot.com,81,en,theroot
31,denverpost.com,The Denver Post,http://www.denverpost.com/,642,en,denverpost
413473,hollywoodweeklymagazine.com,hollywoodweekly,http://hollywoodweeklymagazine.com/,0,,hollywoodweeklymagazine
623372,americaru.com,America RU,http://www.americaru.com/,-1,ru,americaru
20262,freep.com,freep.com,http://www.freep.com,377,en,freep
25499,nbcnews.com,NBC News,http://www.nbcnews.com,200,en,nbc
